,Unnamed: 0,first'baron,'baronKills,first'champion,'championKills,first'dragon,'dragonKills,first'inhibitor,'inhibitorKills,first'riftHerald,'riftHeraldKills,first'tower,'towerKills,teamId,win,metadata.matchId,eloRank
0,0,False,0,False,20,True,1,False,0,True,1,False,2,100,False,LA1_1154740819,SILVER
1,1,False,0,True,30,False,3,True,1,False,0,True,8,200,True,LA1_1154740819,SILVER
2,2,False,0,True,39,False,3,True,3,False,0,False,11,100,True,LA1_1154608421,SILVER
3,3,False,0,False,21,True,1,False,0,True,1,True,2,200,False,LA1_1154608421,SILVER
4,4,False,0,True,47,False,3,False,1,True,2,False,8,100,True,LA1_1154605850,SILVER
5,5,True,2,False,36,True,3,True,2,False,0,True,8,200,False,LA1_1154605850,SILVER
6,6,False,0,False,15,False,1,False,0,False,0,False,0,100,False,LA1_1153733858,SILVER
7,7,False,0,True,33,True,2,True,2,True,2,True,7,200,True,LA1_1153733858,SILVER
8,8,False,0,False,26,False,0,False,0,True,2,False,0,100,False,LA1_1153730918,SILVER
9,9,True,1,True,45,True,4,True,3,False,0,True,11,200,True,LA1_1153730918,SILVER
10,10,True,2,True,57,False,4,True,2,True,2,True,10,100,True,LA1_1153648949,SILVER
11,11,False,0,False,53,True,2,False,0,False,0,False,5,200,False,LA1_1153648949,SILVER
12,12,False,0,False,10,False,1,False,0,True,1,True,1,100,True,LA1_1153667234,SILVER
13,13,False,0,True,12,True,1,False,0,False,0,False,0,200,False,LA1_1153667234,SILVER
14,14,False,0,False,19,True,1,False,0,True,1,True,3,100,False,LA1_1153665961,SILVER
15,15,True,1,True,31,False,3,True,1,False,0,False,7,200,True,LA1_1153665961,SILVER
16,16,False,1,True,36,False,2,True,1,False,1,True,7,100,True,LA1_1153390478,SILVER
17,17,True,1,False,34,True,4,False,0,True,1,False,4,200,False,LA1_1153390478,SILVER
18,18,True,1,True,35,False,3,True,2,True,1,True,9,100,True,LA1_1153327930,SILVER
19,19,False,0,False,27,True,1,False,0,False,0,False,4,200,False,LA1_1153327930,SILVER
20,20,False,0,True,37,False,4,True,2,True,2,False,10,100,True,LA1_1153334365,SILVER
21,21,False,0,False,19,True,1,False,0,False,0,True,2,200,False,LA1_1153334365,SILVER
22,22,True,1,False,34,True,4,True,3,True,2,True,11,100,True,LA1_1065344276,SILVER
23,23,False,0,True,15,False,0,False,0,False,0,False,2,200,False,LA1_1065344276,SILVER
24,24,True,1,True,48,False,2,True,1,True,2,True,10,100,True,LA1_1065308236,SILVER
25,25,False,0,False,29,True,2,False,0,False,0,False,3,200,False,LA1_1065308236,SILVER
26,26,False,0,False,6,True,1,False,0,False,0,False,0,100,False,LA1_1065273226,SILVER
27,27,False,0,True,18,False,1,False,0,True,2,True,5,200,True,LA1_1065273226,SILVER
28,28,False,0,True,11,True,1,False,0,False,0,False,0,100,True,LA1_1091556297,SILVER
29,29,False,0,False,2,False,0,False,0,True,1,False,0,200,False,LA1_1091556297,SILVER
