,Unnamed: 0,first'baron,'baronKills,first'champion,'championKills,first'dragon,'dragonKills,first'inhibitor,'inhibitorKills,first'riftHerald,'riftHeraldKills,first'tower,'towerKills,teamId,win,metadata.matchId,eloRank
0,0,False,0,False,34,True,4,True,1,True,1,True,5,100,True,LA1_1167319728,IRON
1,1,False,0,True,32,False,1,False,0,False,1,False,7,200,False,LA1_1167319728,IRON
2,2,False,0,True,31,False,0,False,0,False,0,False,3,100,False,LA1_1167286773,IRON
3,3,True,1,False,38,True,4,True,3,True,2,True,10,200,True,LA1_1167286773,IRON
4,4,False,0,True,32,True,5,True,3,True,2,True,11,100,True,LA1_1167268729,IRON
5,5,False,0,False,19,False,0,False,0,False,0,False,2,200,False,LA1_1167268729,IRON
6,6,True,1,True,33,True,4,True,2,True,2,True,10,100,True,LA1_1166784324,IRON
7,7,False,0,False,23,False,1,False,0,False,0,False,1,200,False,LA1_1166784324,IRON
8,8,False,0,True,9,True,1,False,0,False,0,False,0,100,False,LA1_1166760935,IRON
9,9,False,0,False,23,False,1,True,3,True,1,True,11,200,True,LA1_1166760935,IRON
10,10,False,0,False,44,True,4,True,2,False,0,False,10,100,True,LA1_1166735035,IRON
11,11,False,0,True,31,False,1,False,0,True,1,True,2,200,False,LA1_1166735035,IRON
12,12,True,1,True,40,True,2,False,0,False,0,False,3,100,False,LA1_1166544818,IRON
13,13,False,0,False,44,False,4,True,4,True,1,True,11,200,True,LA1_1166544818,IRON
14,14,True,2,False,43,True,2,True,3,False,0,False,8,100,False,LA1_1165259860,IRON
15,15,False,1,True,59,False,4,False,4,True,2,True,9,200,True,LA1_1165259860,IRON
16,16,False,0,False,31,False,0,False,0,False,0,False,1,100,False,LA1_1165255807,IRON
17,17,False,0,True,46,True,4,True,1,True,2,True,10,200,True,LA1_1165255807,IRON
18,18,False,0,False,23,False,1,False,0,True,1,True,2,100,False,LA1_1165242631,IRON
19,19,False,0,True,31,True,2,True,1,False,1,False,8,200,True,LA1_1165242631,IRON
20,20,False,0,False,8,False,0,False,0,False,0,False,0,100,False,LA1_1164923536,IRON
21,21,False,0,True,25,True,3,False,0,True,2,True,6,200,True,LA1_1164923536,IRON
22,22,False,0,True,14,False,0,False,0,False,0,False,2,100,False,LA1_1164869333,IRON
23,23,False,0,False,43,True,3,True,2,True,2,True,9,200,True,LA1_1164869333,IRON
24,24,False,0,False,44,False,3,False,1,True,1,True,5,100,False,LA1_1164816791,IRON
25,25,True,1,True,55,True,4,True,3,False,0,False,11,200,True,LA1_1164816791,IRON
26,26,False,0,False,12,False,0,False,0,False,0,False,1,100,False,LA1_1164812881,IRON
27,27,False,0,True,27,True,3,True,1,True,2,True,8,200,True,LA1_1164812881,IRON
28,28,True,1,False,32,False,2,True,2,True,2,False,9,100,True,LA1_1164350860,IRON
29,29,False,0,True,18,True,1,False,0,False,0,True,2,200,False,LA1_1164350860,IRON
30,30,False,0,False,46,True,2,False,0,True,1,False,3,100,False,LA1_1164306001,IRON
31,31,False,0,True,53,False,3,True,5,False,1,True,11,200,True,LA1_1164306001,IRON
32,32,False,0,False,24,False,0,False,0,True,1,False,1,100,False,LA1_1163828324,IRON
33,33,False,0,False,48,True,4,True,1,False,0,True,9,200,True,LA1_1163828324,IRON
34,34,False,0,True,3,False,0,False,0,False,0,False,0,100,True,LA1_1163826060,IRON
35,35,False,0,False,2,False,0,False,0,False,0,False,0,200,False,LA1_1163826060,IRON
36,36,False,0,True,37,False,1,False,0,False,0,True,2,100,True,LA1_1163820928,IRON
37,37,False,0,False,15,True,2,False,0,True,1,False,3,200,False,LA1_1163820928,IRON
38,38,False,0,False,48,False,2,False,0,True,2,True,7,100,False,LA1_1163781041,IRON
39,39,True,1,True,58,True,4,True,3,False,0,False,11,200,True,LA1_1163781041,IRON
40,40,False,0,False,18,True,2,False,0,False,0,False,3,100,False,LA1_1068084253,IRON
41,41,False,0,True,33,False,1,True,1,True,1,True,6,200,True,LA1_1068084253,IRON
42,42,False,0,False,11,False,0,False,0,False,0,False,0,100,False,LA1_1067279221,IRON
